SLIT_ID,G140H_MIN,G140H_MAX,G235H_MIN,G235H_MAX,G395H_MIN,G395H_MAX
0,1.45010,1.48484,2.43073,2.48933,4.10284,4.20176
1,1.44918,1.48392,2.42911,2.48771,4.10026,4.19918
2,1.44803,1.48300,2.42749,2.48609,4.09768,4.19617
3,1.44711,1.48208,2.42587,2.48447,4.09467,4.19359
4,1.44619,1.48116,2.42424,2.48285,4.09209,4.19058
5,1.44527,1.48001,2.42262,2.48123,4.08951,4.18800
6,1.44412,1.47909,2.42100,2.47961,4.08650,4.18499
7,1.44320,1.47817,2.41911,2.47799,4.08349,4.18241
8,1.44228,1.47702,2.41749,2.47637,4.08091,4.17940
9,1.44113,1.47610,2.41587,2.47447,4.07790,4.17639
10,1.44021,1.47494,2.41398,2.47285,4.07488,4.17380
11,1.43906,1.47402,2.41236,2.47096,4.07187,4.17079
12,1.43814,1.47287,2.41047,2.46934,4.06886,4.16778
13,1.43699,1.47172,2.40885,2.46745,4.06585,4.16434
14,1.43584,1.47080,2.40696,2.46556,4.06284,4.16133
15,1.42618,1.46114,2.39076,2.44936,4.03575,4.13424
16,1.42503,1.45976,2.38887,2.44747,4.03231,4.13080
17,1.42387,1.45861,2.38698,2.44558,4.02887,4.12736
18,1.42272,1.45746,2.38482,2.44342,4.02586,4.12391
19,1.42157,1.45631,2.38293,2.44153,4.02241,4.12047
20,1.42019,1.45516,2.38077,2.43937,4.01897,4.11703
21,1.41904,1.45378,2.37888,2.43721,4.01553,4.11359
22,1.41789,1.45263,2.37672,2.43532,4.01166,4.11015
23,1.41651,1.45125,2.37455,2.43316,4.00822,4.10671
24,1.41536,1.45010,2.37239,2.43100,4.00478,4.10284
25,1.41398,1.44872,2.37050,2.42884,4.00134,4.09940
26,1.41283,1.44757,2.36834,2.42668,3.99747,4.09596
27,1.41145,1.44619,2.36618,2.42451,3.99403,4.09209
28,1.41007,1.44481,2.36375,2.42235,3.99016,4.08822
29,1.40892,1.44366,2.36159,2.41992,3.98629,4.08435
